Inflight wifi service,Online boarding,Business Travel,Inflight entertainment,Loyal Customer,Checkin service,Flight Distance,Age,Seat comfort,Class
2,2,1,2,1,3,2062,26,2,3
5,4,1,4,1,4,680,52,4,3
3,3,0,3,1,4,188,28,3,1
3,4,1,3,1,4,453,54,4,3
4,4,1,4,1,3,775,40,4,1
5,4,1,5,1,2,2727,79,4,3
2,2,0,3,1,4,1192,41,3,1
0,0,1,4,0,3,1506,24,4,3
5,5,1,5,1,2,680,49,5,1
2,2,0,4,1,4,488,40,2,1
3,3,0,5,1,3,802,59,5,1
2,2,1,2,1,2,3797,40,2,3
5,5,1,2,0,5,1075,21,2,3
4,4,1,2,1,4,2938,57,5,3
3,3,1,2,0,3,971,28,2,1
3,4,1,5,1,4,2744,25,5,3
4,4,1,5,1,2,1075,41,5,2
3,3,0,3,1,4,228,22,5,2
4,3,1,4,1,4,3982,49,3,3
2,2,0,2,1,2,404,29,5,1
2,2,0,4,1,4,991,48,4,1
3,3,0,2,1,4,351,9,3,2
3,4,1,4,1,5,1096,49,4,3
2,3,1,2,1,3,1514,49,4,3
2,2,1,4,0,3,302,30,4,1
4,0,0,3,1,4,187,42,3,1
2,2,0,3,1,4,1184,17,3,1
2,2,1,3,0,3,680,32,1,3
4,4,1,4,1,4,128,44,4,2
1,4,1,4,1,4,280,27,4,3
1,1,1,1,1,3,239,43,1,2
1,1,0,3,1,5,621,28,3,1
5,5,1,4,1,4,1440,46,4,3
2,4,1,4,1,1,574,37,1,3
1,1,0,4,1,3,626,25,4,1
3,3,1,1,0,5,1276,24,1,1
0,5,1,5,1,3,328,53,4,3
0,0,1,4,0,4,746,23,4,3
1,1,0,2,1,1,546,12,2,1
4,4,1,5,1,4,1735,33,4,3
1,1,1,1,1,4,224,40,1,1
0,4,1,3,1,5,2783,41,4,3
0,0,0,4,1,2,1009,10,4,1
4,4,1,2,0,5,404,42,3,1
1,1,1,1,1,4,1514,7,1,3
5,4,1,4,1,5,1090,52,5,3
4,4,1,3,0,1,562,15,3,1
4,4,1,3,0,3,202,24,3,1
1,4,1,4,1,3,585,52,4,3
4,5,0,1,1,3,451,65,4,1
3,3,0,2,1,5,991,28,2,1
0,0,1,5,1,3,1034,20,5,1
3,3,0,1,1,5,1608,34,2,1
4,4,0,5,1,5,678,31,5,1
5,4,1,4,1,4,2075,26,4,3
4,2,0,2,1,3,321,57,4,1
1,1,0,5,1,3,590,39,4,1
1,4,0,4,1,2,1156,52,4,1
3,3,1,3,0,4,253,26,3,1
5,4,1,4,1,5,2973,57,5,3
3,3,0,1,1,4,323,30,1,1
5,3,1,5,1,4,109,56,1,2
3,2,1,2,1,3,1620,8,2,3
5,4,1,4,1,3,3648,42,5,3
1,4,1,4,1,4,1635,57,5,3
3,5,1,3,1,3,1504,53,4,3
2,2,1,2,1,3,1464,44,2,3
3,4,1,3,1,2,1624,60,3,3
3,4,1,4,1,5,2021,59,4,3
3,2,1,5,1,4,2724,36,5,3
1,1,0,5,1,3,2239,69,5,1
2,2,1,2,1,1,1546,30,2,3
3,4,1,4,1,5,1337,28,4,3
3,3,1,2,1,3,197,39,3,3
5,5,1,5,1,5,1674,22,5,3
3,3,0,5,1,2,371,23,5,1
1,4,1,4,1,3,187,57,1,3
1,4,1,3,1,5,479,58,5,3
3,3,1,3,1,1,813,41,3,2
4,4,1,5,0,2,622,29,5,1
5,5,1,5,0,4,813,25,5,3
2,2,1,2,1,4,1068,44,2,1
3,4,1,3,1,4,3141,34,4,3
2,2,0,5,1,3,1009,62,4,1
3,5,1,4,1,5,3382,51,5,3
2,5,1,5,1,4,528,39,5,3
3,3,1,3,1,3,125,47,1,1
4,4,1,4,1,3,491,26,4,3
3,5,0,5,1,2,1979,59,5,1
2,2,1,2,1,3,957,16,4,1
4,4,1,4,1,4,1097,51,4,2
2,2,0,4,1,4,757,34,4,1
3,3,1,2,0,1,1068,27,2,1
2,2,1,2,1,2,209,63,2,1
1,5,1,5,1,3,1626,59,4,3
3,3,0,3,1,3,413,30,3,1
4,4,1,4,1,1,866,30,4,1
3,3,1,3,1,3,2239,54,3,1
3,4,1,4,1,4,3841,28,4,3
5,4,1,4,1,3,2595,17,4,3
2,3,1,2,1,3,2605,43,3,3
3,4,1,2,1,4,2952,49,5,3
1,1,0,5,1,3,1009,60,5,2
2,1,0,5,1,3,944,32,4,1
4,4,1,4,1,5,302,58,4,1
3,4,1,4,1,4,1743,51,4,3
1,2,1,4,1,1,448,40,5,3
1,0,1,4,0,3,992,22,4,1
5,3,1,5,1,2,628,54,1,2
1,5,0,5,1,4,280,58,4,1
4,5,0,4,1,5,1042,65,4,3
2,5,1,5,1,3,4000,48,4,3
1,4,1,1,1,3,2771,60,4,3
0,0,1,3,0,1,337,22,3,1
3,4,1,4,1,5,1874,26,4,3
3,3,1,2,0,2,738,34,2,1
2,5,1,4,1,3,1127,26,4,3
3,4,1,4,1,2,1009,49,3,2
4,4,0,1,1,2,546,12,1,1
1,1,1,5,0,5,748,36,1,3
3,4,0,3,1,5,227,54,4,1
1,1,1,3,0,3,707,38,3,1
3,4,1,4,1,4,2235,53,5,3
1,3,1,2,1,5,1726,48,5,3
1,3,0,4,1,1,684,54,3,2
4,4,1,4,1,4,192,43,4,1
1,1,0,2,1,2,442,12,2,1
4,4,0,4,1,4,802,10,5,1
1,4,1,5,1,3,1884,39,4,3
3,3,1,3,1,2,308,72,3,1
1,1,0,2,1,5,259,54,2,1
2,3,1,2,1,1,1990,44,3,3
3,4,0,4,1,5,920,49,4,1
3,3,1,3,1,2,3296,56,2,3
2,3,0,3,1,5,655,30,2,1
3,2,1,2,0,4,2565,36,2,3
